loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,customer_age,monthly_income,employment_type,credit_score,region,emi_delay_days,loan_status,emi_amount
70298,5276,Home,4386915,21.46,120,58,56221,Self-Employed,673,West,11,Paid,44402.89133
70299,6192,Personal,1830596,18.65,240,27,116900,Salaried,325,South,16,Paid,9050.008975
70300,5770,Personal,1963032,14.91,120,28,27436,Salaried,323,West,23,Paid,18797.66726
70301,5350,Home,1195542,20.55,36,59,141643,Salaried,864,East,3,Paid,40034.05225
70302,6035,Home,927495,16.01,24,37,74120,Self-Employed,583,South,5,Default,44832.78956
70303,5869,Credit Card,1274742,20.36,12,31,38570,Self-Employed,417,West,25,Paid,127856.6226
70304,5818,Personal,1568682,12.71,60,39,81433,Salaried,450,South,3,Paid,29467.69137
70305,5498,Credit Card,3606712,9.7,12,50,160252,Salaried,707,South,6,Paid,329713.5887
70306,5066,Auto,967607,19.87,120,32,37457,Salaried,848,South,9,Paid,9665.587591
70307,5009,Auto,2471808,20.19,24,43,69214,Salaried,833,East,13,Active,123786.0848
70308,5625,Credit Card,1529426,14.53,24,34,33495,Self-Employed,479,South,0,Paid,72985.48324
70309,5242,Home,4466214,20.71,36,38,40120,Self-Employed,807,South,9,Active,149754.6367
70310,6386,Auto,4277599,19.09,24,40,44059,Salaried,741,South,18,Paid,212258.027
70311,6394,Personal,1917920,14.61,60,48,180513,Self-Employed,504,North,4,Paid,36635.46853
70312,6345,Home,1837771,18.09,60,46,57966,Salaried,551,West,4,Paid,36170.39623
70313,6445,Credit Card,4374002,16.84,240,50,123322,Self-Employed,667,South,0,Paid,21294.09974
70314,6360,Home,3566714,21.24,60,56,40309,Self-Employed,512,South,7,Paid,72071.40089
70315,5328,Home,4667730,18.44,12,25,155843,Self-Employed,669,West,16,Paid,460704.951
70316,6265,Personal,1040639,11.34,60,21,106977,Salaried,406,West,2,Paid,19310.79104
70317,5701,Auto,2349783,14.28,120,34,154509,Self-Employed,491,West,5,Active,22377.76677
70318,5953,Auto,1060527,18.84,240,51,62247,Salaried,658,West,6,Paid,5251.376195
70319,5081,Home,4392455,14.75,24,21,92632,Salaried,316,East,7,Paid,210014.2547
70320,6043,Home,2046047,9.17,12,30,116553,Salaried,539,South,19,Paid,186139.1258
70321,5766,Home,2802285,18.7,240,28,113238,Salaried,450,South,0,Paid,13859.63456
70322,5375,Personal,2822913,18.4,36,57,98296,Self-Employed,585,South,6,Paid,92842.472
70323,6450,Home,2698579,14.21,120,43,41051,Salaried,446,South,2,Active,25683.72563
70324,6400,Auto,3015106,18.83,12,56,68862,Self-Employed,537,East,2,Paid,298570.8717
70325,5832,Auto,1144309,16.49,120,39,37599,Salaried,756,South,8,Paid,11108.37962
70326,5784,Credit Card,4525281,18.24,24,53,62298,Self-Employed,550,East,4,Active,222945.5106
70327,5264,Home,1110734,11.28,36,56,199447,Self-Employed,396,North,1,Paid,34334.02209
70328,5527,Credit Card,565251,18.67,60,25,42745,Salaried,838,South,3,Paid,11179.7227
70329,6363,Personal,2891167,14.15,120,31,42862,Self-Employed,736,South,7,Paid,27502.22609
70330,5849,Auto,2919860,11.95,60,52,193902,Salaried,500,East,1,Paid,54479.72117
70331,5731,Auto,3167794,18.69,120,24,45726,Salaried,688,South,10,Paid,31332.12249
70332,5920,Auto,1973441,10.96,36,57,43858,Self-Employed,881,South,11,Active,60825.83704
70333,5663,Auto,2277088,21.26,12,55,73847,Self-Employed,870,South,10,Active,230099.7424
70334,5025,Personal,1929851,12.39,24,52,76391,Self-Employed,501,East,10,Paid,90373.31412
70335,5111,Home,4406644,11.28,36,54,195484,Self-Employed,701,North,11,Paid,136214.2623
70336,6253,Credit Card,4718586,9.01,240,24,199051,Self-Employed,557,West,1,Paid,21432.21083
70337,6158,Home,745959,16.64,36,42,50837,Self-Employed,787,West,10,Active,24169.0716
70338,6121,Personal,3480984,15.56,60,58,151474,Self-Employed,742,West,3,Paid,67043.75184
70339,5723,Auto,1124731,12.02,24,30,97269,Salaried,572,South,18,Active,52496.81943
70340,5672,Personal,1863342,9.68,240,27,42848,Salaried,874,North,23,Default,8515.47294
70341,6286,Home,1758407,11.72,24,36,187604,Salaried,673,South,30,Default,81853.84585
70342,5464,Credit Card,2361360,15.66,60,23,140518,Self-Employed,842,East,2,Paid,45519.1496
70343,6371,Personal,4523453,20.54,120,57,94012,Self-Employed,813,East,5,Paid,45438.08539
70344,6339,Auto,1791228,12.9,36,59,75865,Salaried,893,West,6,Paid,56174.90033
70345,6075,Home,234556,16.18,120,38,36898,Salaried,753,South,5,Paid,2270.893007
70346,5002,Auto,2778334,21.53,60,39,88686,Salaried,640,North,6,Paid,56275.15517
70347,6279,Home,1897668,12.61,60,22,41342,Salaried,487,South,5,Paid,35616.06558
70348,5445,Personal,1772668,18.64,36,53,196025,Salaried,668,South,16,Paid,58419.25876
70349,5827,Personal,572509,12.43,36,51,81174,Self-Employed,577,West,11,Paid,17879.77413
70350,5978,Home,891527,16.51,36,23,155506,Self-Employed,410,West,0,Paid,28853.28077
70351,5149,Personal,376195,11.39,120,56,76071,Salaried,401,East,0,Active,3492.030088
70352,5513,Personal,3800975,14.41,12,27,24167,Self-Employed,587,South,18,Active,362391.2915
70353,6199,Home,3169891,14.12,240,56,90164,Self-Employed,538,West,12,Active,15072.8317
70354,5530,Personal,476408,16.08,240,40,43927,Self-Employed,396,South,11,Paid,2304.226693
70355,5625,Credit Card,2515104,21.67,24,38,62469,Self-Employed,750,North,10,Paid,127505.2932
70356,6359,Auto,3811870,20.91,120,39,155448,Self-Employed,594,East,19,Paid,38407.76681
70357,5252,Home,1588787,15.76,36,54,64406,Salaried,348,South,3,Active,51088.32864
70358,5437,Personal,1188922,20.84,12,52,24585,Self-Employed,384,East,0,Paid,119724.4454
70359,5502,Personal,297711,19.73,240,37,25694,Salaried,662,North,10,Paid,1485.205751
70360,6087,Home,3956905,12.66,240,45,76819,Self-Employed,510,North,6,Paid,18574.37155
70361,6012,Home,3950796,13.45,24,57,152524,Salaried,458,West,1,Paid,186757.4193
70362,6160,Home,330267,8.31,120,39,43821,Self-Employed,410,West,4,Paid,2980.934898
70363,5268,Personal,1033072,16.99,36,54,77205,Self-Employed,338,East,3,Active,33571.97036
70364,6234,Home,4524697,21.08,12,25,164072,Self-Employed,524,West,2,Default,456541.9273
70365,5379,Personal,982126,10.23,12,33,118582,Self-Employed,859,South,9,Active,90216.45748
70366,5576,Credit Card,2719761,13.6,120,31,82447,Self-Employed,885,South,5,Default,25747.0708
70367,5697,Home,1160583,10.45,60,39,94096,Salaried,652,North,0,Paid,21364.39873
70368,6210,Credit Card,2623646,15.65,24,56,154090,Salaried,477,East,0,Active,126426.9416
70369,5542,Home,3440278,17.73,240,27,110938,Salaried,418,South,15,Active,16875.99704
70370,5170,Home,3464009,12.71,240,35,67337,Self-Employed,405,West,6,Active,16267.85227
70371,6056,Home,1730239,15.8,120,42,104312,Self-Employed,388,North,5,Active,16696.80635
70372,5717,Credit Card,1064877,21.1,36,57,140243,Salaried,843,West,23,Default,35821.27908
70373,5362,Home,3936165,17.13,12,22,80224,Salaried,832,East,3,Active,384202.5054
70374,5528,Home,3333358,15.79,36,24,77350,Self-Employed,630,North,4,Default,107213.7563
70375,5877,Credit Card,4623097,12.79,24,55,123200,Salaried,505,North,4,Active,217266.2961
70376,5078,Personal,3088344,15.7,120,39,70130,Salaried,748,East,11,Paid,29776.7834
70377,5223,Home,1981785,14.35,12,58,76009,Self-Employed,461,West,0,Paid,188847.5956
70378,6008,Credit Card,910296,18.06,60,37,51006,Self-Employed,843,West,13,Paid,17911.59096
70379,6267,Credit Card,364620,17.17,120,31,146500,Self-Employed,300,West,8,Paid,3560.21045
70380,5546,Auto,3115707,20.6,24,32,91891,Self-Employed,608,North,6,Default,156564.2768
70381,5397,Home,3415326,12.25,36,48,93271,Self-Employed,761,South,3,Paid,106491.7621
70382,5465,Personal,1911520,18.48,24,29,110977,Self-Employed,576,South,13,Paid,94365.37067
70383,5982,Auto,2609691,20.03,24,36,45717,Self-Employed,407,West,3,Paid,130517.1711
70384,5046,Home,1734875,10.96,240,27,85224,Self-Employed,895,North,19,Paid,8020.905417
70385,5082,Auto,2372746,20.92,240,45,168095,Self-Employed,854,East,0,Paid,11954.68526
70386,5477,Credit Card,2862953,8.13,240,51,177016,Salaried,560,South,2,Default,12898.79616
70387,6294,Credit Card,4871714,11.42,12,57,106184,Salaried,408,North,5,Paid,452338.6449
70388,5972,Home,226358,18.67,240,23,154433,Self-Employed,643,East,1,Active,1119.245994
70389,6326,Home,1264973,17.82,60,31,156707,Self-Employed,760,South,22,Paid,24839.85314
70390,5568,Credit Card,4215753,20.92,24,21,173315,Salaried,874,South,15,Default,212403.6887
70391,5854,Auto,4345497,18.29,120,35,28433,Salaried,588,East,1,Active,42835.73668
70392,5051,Home,1423824,15.71,240,50,87852,Self-Employed,811,South,1,Default,6864.61146
70393,6139,Auto,1226195,13.14,240,23,195243,Self-Employed,605,West,4,Paid,5780.487596
70394,5522,Personal,704303,11.41,24,34,52843,Self-Employed,680,North,10,Paid,32694.33218
70395,5014,Personal,1044580,8.47,60,56,72890,Salaried,594,East,12,Active,18884.26543
70396,6011,Home,4740522,9.07,24,31,115785,Salaried,558,South,11,Paid,215436.9727
70397,5111,Auto,2256118,16.79,36,23,138029,Self-Employed,460,West,0,Paid,73192.22812
70398,5964,Personal,2298244,11.96,12,54,74128,Salaried,487,South,12,Paid,214426.1652
70399,5582,Personal,1618104,15.27,120,44,27179,Salaried,365,South,27,Active,15543.23734
70400,5305,Personal,2732704,12.63,24,57,126622,Salaried,873,West,13,Active,128243.5215
70401,5383,Credit Card,733372,21.66,240,59,109650,Salaried,759,North,4,Paid,3717.584897
70402,5175,Auto,1756996,10.17,12,35,44775,Self-Employed,675,North,10,Paid,161306.8744
70403,6096,Credit Card,4046503,14.05,36,47,156352,Self-Employed,559,East,4,Active,128195.4631
70404,5624,Auto,2440706,18.99,36,36,198153,Self-Employed,531,East,9,Active,80672.11304
70405,5035,Home,4926088,17.93,24,30,22793,Salaried,359,South,10,Default,242055.6491
70406,5947,Credit Card,4230423,17.27,60,42,161535,Salaried,527,North,4,Paid,82683.61754
70407,5523,Credit Card,1886532,20.17,60,42,161943,Salaried,801,North,20,Paid,37784.09174
70408,6419,Credit Card,74645,8.79,240,54,52042,Self-Employed,308,South,12,Active,338.3595646
70409,5309,Home,2768958,13.86,12,39,138404,Self-Employed,885,West,26,Active,262727.9649
70410,6427,Personal,4049764,12.82,36,36,81751,Salaried,677,East,7,Active,126915.104
70411,6393,Credit Card,826495,20.54,240,34,87929,Self-Employed,754,North,9,Paid,4151.071138
70412,6170,Auto,1469090,15.25,60,22,50070,Self-Employed,844,North,1,Paid,28218.77042
70413,5887,Credit Card,2834061,13.38,240,30,24592,Salaried,417,East,24,Paid,13388.57651
70414,5556,Home,2465381,11.58,240,50,179771,Salaried,434,East,0,Paid,11461.96717
70415,5635,Credit Card,3821370,15.09,240,40,165347,Salaried,616,East,14,Default,18325.06139
70416,6009,Personal,4996253,11.67,240,37,115205,Salaried,497,South,15,Paid,23247.14885
70417,5319,Credit Card,2670729,16.43,12,54,185232,Self-Employed,585,North,6,Paid,259127.4812
70418,5450,Credit Card,1454800,16.2,120,32,88449,Salaried,774,South,7,Paid,14087.31333
70419,5299,Credit Card,1111161,12.46,12,42,188233,Self-Employed,786,North,6,Paid,104134.3051
70420,5355,Personal,2633134,17.71,240,37,51475,Self-Employed,391,East,8,Paid,12914.42513
70421,5206,Credit Card,2264213,18.5,120,41,92024,Salaried,314,South,20,Paid,22359.10338
70422,5697,Auto,1898507,20.99,120,44,148242,Self-Employed,798,South,8,Paid,19141.69683
70423,5868,Home,1614177,19.5,12,41,42037,Salaried,365,South,1,Paid,160745.1263
70424,5371,Home,1391249,11.77,240,57,80181,Self-Employed,623,North,10,Paid,6479.16253
70425,5807,Personal,4711285,10.12,12,27,186242,Self-Employed,783,South,3,Paid,432338.9202
70426,5906,Credit Card,389665,16.89,24,42,83582,Self-Employed,336,East,7,Paid,18978.3091
70427,5068,Home,3716304,21.48,24,30,157272,Salaried,718,North,16,Default,188106.9208
70428,5582,Credit Card,2628349,16.06,36,48,162734,Self-Employed,780,South,3,Active,84735.05137
70429,5228,Personal,2142437,8.86,240,53,63604,Salaried,415,East,0,Paid,9717.737159
70430,5682,Personal,538334,16.33,240,52,91014,Self-Employed,562,North,14,Paid,2609.349759
70431,5798,Credit Card,4983171,17.81,60,27,101246,Salaried,573,East,1,Paid,97844.56258
70432,5376,Auto,1247464,11.84,60,27,116962,Salaried,774,North,8,Paid,23252.72896
70433,5913,Home,4154011,9.76,120,40,108652,Salaried,618,West,11,Paid,37995.35395
70434,5015,Credit Card,274659,15.19,12,50,118224,Salaried,592,North,12,Paid,26364.97518
70435,6407,Home,2662245,21.03,60,56,60462,Self-Employed,383,South,3,Active,53701.91872
70436,5070,Personal,541437,19.38,60,29,42003,Salaried,814,North,16,Paid,10772.79151
70437,5262,Personal,1563378,16.13,12,28,72826,Self-Employed,349,North,8,Paid,151295.906
70438,6387,Auto,2280229,10.71,240,31,38673,Self-Employed,660,West,2,Paid,10518.50636
70439,6044,Auto,3382140,21.33,12,45,53018,Salaried,348,East,13,Paid,341962.5385
70440,5897,Credit Card,2045002,16.28,36,33,141143,Salaried,856,South,13,Paid,66053.5646
70441,5488,Auto,2661258,12.06,60,49,184475,Self-Employed,629,West,16,Paid,49703.42858
70442,5606,Auto,3224648,20.51,60,51,129512,Salaried,310,East,1,Active,64767.05508
70443,5716,Home,621443,16.89,24,53,132344,Self-Employed,890,East,8,Default,30266.86345
70444,5949,Home,1200478,10.54,120,39,20981,Salaried,381,East,1,Paid,11058.40318
70445,5709,Home,3646376,15.52,240,33,178329,Self-Employed,536,West,9,Paid,17551.22315
70446,5812,Credit Card,1500191,14.69,36,57,123391,Salaried,393,South,13,Default,47793.58494
70447,5683,Home,4670414,20.24,24,39,83115,Self-Employed,434,West,0,Paid,233987.7414
70448,5737,Personal,448934,9.4,60,28,184770,Self-Employed,334,South,7,Active,8185.563267
70449,6154,Personal,1135974,14.94,60,44,133791,Self-Employed,377,East,3,Paid,21761.47526
70450,6226,Home,4183705,14.96,36,59,22491,Salaried,350,North,7,Paid,133599.6463
70451,5324,Credit Card,3145585,11.46,24,22,110572,Self-Employed,438,West,10,Default,146086.21
70452,6389,Credit Card,2915129,16.73,240,56,127370,Salaried,806,North,17,Paid,14178.45867
70453,5336,Auto,3019435,18.64,60,36,90425,Salaried,550,West,17,Default,59704.29473
70454,5782,Home,1040244,13.7,24,36,141048,Self-Employed,722,North,3,Paid,49281.5595
70455,5395,Credit Card,2495373,13.23,120,47,151198,Salaried,304,North,11,Paid,23545.92373
70456,5673,Home,4230065,17.13,12,50,33916,Salaried,886,West,10,Paid,412889.5945
70457,5615,Home,1012731,19.29,120,28,164131,Self-Employed,783,West,12,Paid,10067.39008
70458,5801,Auto,4390908,19.76,120,45,29548,Salaried,899,North,7,Paid,43821.26184
70459,6232,Personal,2545556,18.66,24,39,166292,Self-Employed,536,West,23,Active,125856.5312
70460,5767,Personal,4837471,20.62,120,35,54660,Self-Employed,514,North,16,Paid,48624.646
70461,5996,Credit Card,1075728,10.55,24,24,99461,Salaried,320,East,3,Paid,49550.721
70462,5497,Credit Card,3514536,15.36,36,35,99896,Self-Employed,412,South,0,Active,112621.3536
70463,5823,Personal,1775387,20.82,24,21,49399,Self-Employed,783,South,6,Paid,89375.94056
70464,6496,Credit Card,4973903,17.95,36,43,129109,Salaried,573,South,30,Paid,162964.4052
70465,5843,Home,3913968,17.93,12,37,156506,Self-Employed,653,North,0,Active,384645.2052
70466,5875,Personal,872545,12.53,240,34,199898,Salaried,720,East,10,Active,4091.145369
70467,5935,Personal,1776399,12.98,12,54,169643,Self-Employed,628,East,10,Paid,167247.9658
70468,6180,Home,2150341,12.15,120,53,111441,Salaried,527,West,0,Paid,20096.7286
70469,5352,Personal,2895310,17.29,120,39,53652,Self-Employed,860,West,17,Paid,28299.24249
70470,5204,Personal,4365349,9.15,120,39,55028,Salaried,388,South,3,Paid,39706.48695
70471,5713,Home,2326735,16.37,12,40,27994,Self-Employed,863,South,8,Paid,225635.1266
70472,5633,Home,933881,19.72,36,37,129220,Self-Employed,805,West,6,Paid,31056.73148
70473,5776,Home,4381788,9.04,240,57,26103,Salaried,539,North,8,Paid,19907.92348
70474,6123,Credit Card,3255285,19.22,240,25,27704,Self-Employed,447,West,12,Paid,16170.62824
70475,5806,Personal,3648677,21.51,120,30,137529,Salaried,838,West,1,Active,36945.89519
70476,6428,Credit Card,459938,21.15,120,44,55693,Self-Employed,434,West,15,Paid,4643.457392
70477,5324,Personal,1209017,16.11,12,58,47309,Salaried,458,North,5,Paid,116982.4699
70478,6294,Personal,3858940,9.43,240,41,167719,Salaried,640,South,17,Paid,17595.15851
70479,5478,Personal,1796254,15.44,60,57,102791,Salaried,535,West,20,Paid,34559.92696
70480,5016,Home,1546620,8.91,12,41,122940,Self-Employed,368,East,1,Paid,140368.6535
70481,5289,Personal,1154849,14.28,120,46,184971,Salaried,726,West,8,Paid,10998.01198
70482,5300,Home,3207141,13.74,60,54,139646,Self-Employed,376,West,3,Paid,60796.70289
70483,6255,Auto,4700921,20.28,24,59,169721,Salaried,385,East,9,Paid,235594.4908
70484,5392,Auto,1945362,14.78,240,52,140506,Self-Employed,703,East,15,Default,9303.693765
70485,6040,Credit Card,2591956,12.68,120,39,66984,Salaried,645,South,11,Paid,24338.46684
70486,6483,Credit Card,2493451,12.03,60,26,133605,Self-Employed,667,North,7,Active,46556.88592
70487,5004,Auto,1532333,12.07,24,24,20735,Self-Employed,720,East,4,Active,71553.56638
70488,5465,Home,504138,11.39,24,31,163255,Self-Employed,406,North,14,Active,23398.30493
70489,5092,Auto,4453141,8.13,36,50,138916,Self-Employed,791,West,6,Paid,133755.0379
70490,5766,Credit Card,1378324,8.67,24,49,102155,Self-Employed,810,South,1,Default,62409.36212
70491,5870,Home,4381237,13.48,60,36,57352,Salaried,547,South,3,Paid,82863.79579
70492,6245,Credit Card,1446992,14.19,60,55,42372,Salaried,368,East,17,Paid,27538.66941
70493,5548,Home,1863843,8.93,24,59,47681,Salaried,861,South,10,Paid,84595.17416
70494,5213,Home,1161829,19.24,24,34,67389,Salaried,689,South,1,Active,57723.53748
70495,5013,Home,1924066,15.66,12,48,39064,Self-Employed,654,North,6,Active,185447.8946
70496,6092,Credit Card,4478340,8.92,12,56,105717,Self-Employed,540,East,1,Paid,406483.994
70497,5531,Auto,665199,8.65,12,53,122345,Self-Employed,814,East,1,Active,60228.22613
70498,5026,Credit Card,4493313,10.06,12,48,184772,Self-Employed,889,West,7,Active,412111.6907
70499,5064,Auto,216579,13.87,36,54,34962,Salaried,535,West,26,Paid,6850.514092
70500,5126,Personal,4343792,21.11,12,42,150328,Salaried,540,East,20,Paid,438397.2076
70501,5363,Credit Card,4218837,11.15,12,46,177813,Self-Employed,862,South,3,Paid,390769.7771
70502,5160,Personal,1448940,11.53,24,42,73069,Self-Employed,339,North,14,Paid,67333.44925
70503,5366,Home,4781173,14.56,36,56,198620,Self-Employed,845,East,17,Active,152147.5497
70504,6177,Home,1991878,19.06,12,34,48421,Self-Employed,669,North,7,Paid,197627.4956
70505,6284,Credit Card,651844,12.37,60,40,24471,Self-Employed,658,South,1,Default,12207.95171
70506,6338,Credit Card,913364,17.26,240,42,144159,Salaried,415,South,11,Default,4462.544277
70507,5207,Personal,562611,16.85,120,56,49321,Self-Employed,660,North,16,Paid,5478.424613
70508,5737,Auto,245764,16.8,60,31,44252,Self-Employed,859,West,0,Paid,4784.205867
70509,6425,Home,447724,11.7,60,42,38115,Self-Employed,312,South,9,Paid,8335.128467
70510,5410,Auto,3899556,20.82,36,26,109391,Salaried,882,North,0,Default,130873.4322
70511,5554,Personal,1956055,12.66,36,25,36509,Salaried,623,East,2,Paid,61213.65453
70512,5633,Home,3207959,18.41,240,40,66800,Salaried,511,East,10,Paid,15827.26772
70513,6210,Personal,1164918,9.37,240,24,89229,Salaried,828,West,3,Paid,5308.628402
70514,6088,Personal,4711311,15.14,120,50,94243,Salaried,377,East,5,Active,45205.02904
70515,5282,Home,4782155,15.06,36,35,185448,Self-Employed,555,South,11,Paid,152842.9873
70516,5028,Auto,2177235,19.42,36,53,198553,Salaried,722,West,6,Paid,72223.72325
70517,5183,Home,2950992,17.03,24,28,79219,Self-Employed,891,West,0,Paid,143897.7474
70518,5626,Personal,1496375,12.71,240,37,89740,Salaried,857,South,12,Default,7027.351094
70519,6146,Credit Card,4465454,15.86,60,28,81241,Salaried,368,North,2,Active,86227.91674
70520,5060,Credit Card,4018952,14.54,12,50,178362,Salaried,321,North,8,Active,383608.9684
70521,5783,Auto,3923231,16.64,12,42,83304,Self-Employed,421,South,10,Paid,381338.0532
70522,5654,Auto,4517765,10.42,12,28,112167,Self-Employed,601,South,5,Active,415709.6761
70523,5876,Credit Card,1600994,10.46,36,32,49173,Self-Employed,694,South,8,Paid,49123.83257
70524,5402,Home,4199715,10.96,12,24,38972,Self-Employed,468,West,26,Active,388333.647
70525,5766,Credit Card,2017078,17.55,36,49,189831,Self-Employed,542,North,2,Paid,65863.19969
70526,5473,Credit Card,4452937,12.91,24,35,78891,Salaried,642,North,11,Paid,209492.1319
70527,5333,Credit Card,3604418,18.2,36,35,56650,Salaried,875,West,0,Active,118345.0577
70528,5116,Personal,2903086,8.35,24,25,63725,Self-Employed,537,East,4,Default,131062.2367
70529,5570,Auto,2368315,11.86,120,55,24929,Self-Employed,345,West,15,Paid,22076.64299
70530,5673,Personal,3648488,16.99,36,28,189092,Self-Employed,326,North,12,Paid,118565.7253
70531,5629,Home,4737662,14.56,24,44,144200,Self-Employed,488,North,9,Paid,226144.3995
70532,5953,Personal,1539706,10.47,120,34,92721,Salaried,376,East,9,Paid,14174.27682
70533,5566,Auto,4055745,16.25,240,35,189635,Self-Employed,537,North,7,Paid,19645.01484
70534,5710,Credit Card,1901548,16.72,240,36,64267,Salaried,520,East,5,Active,9247.861773
70535,5033,Personal,4278175,21.13,12,47,96562,Salaried,856,West,2,Paid,431846.1148
70536,5917,Credit Card,4951479,20.25,120,55,71459,Self-Employed,563,East,2,Paid,49617.94581
70537,6366,Credit Card,3853524,14.76,120,49,94236,Self-Employed,728,South,5,Paid,36852.53452
70538,6168,Personal,2700853,18.87,24,30,37212,Salaried,867,West,12,Active,133770.9984
70539,5807,Home,1408867,10.39,12,32,27586,Self-Employed,836,West,1,Paid,129604.0234
70540,5808,Credit Card,3326832,21.3,12,49,82526,Salaried,869,North,7,Paid,336287.268
70541,5164,Personal,3331391,9.92,36,56,90145,Salaried,379,South,14,Paid,101718.4719
70542,6088,Credit Card,428269,16.03,240,50,102958,Self-Employed,677,North,17,Default,2070.50217
70543,5837,Personal,588405,16.53,60,51,64255,Salaried,583,East,21,Default,11427.80577
70544,5279,Credit Card,3690682,12.71,120,42,173406,Self-Employed,830,East,0,Default,34664.73069
70545,5611,Auto,3248153,10.46,240,36,129603,Self-Employed,408,North,3,Paid,14949.62418
70546,6320,Home,3110599,18.88,36,41,81200,Salaried,400,South,3,Paid,102718.8914
70547,6275,Credit Card,3516432,10.81,24,37,82345,Salaried,583,North,2,Default,162356.5958
70548,5505,Personal,3708710,18.92,60,26,184600,Salaried,467,West,17,Paid,73506.6322
70549,6193,Credit Card,4240850,20.69,36,59,39448,Salaried,360,South,7,Active,142174.4963
70550,5193,Credit Card,406598,21.15,24,50,36422,Salaried,475,East,7,Paid,20524.72821
70551,5304,Personal,3666591,14.31,24,21,175313,Salaried,559,West,19,Active,174636.6738
70552,5830,Auto,4827434,10.59,60,56,85689,Salaried,486,West,4,Paid,88977.65434
70553,5339,Credit Card,2503484,21.9,12,55,71636,Salaried,828,North,0,Paid,254312.2497
70554,6179,Auto,1418138,20.8,240,55,21518,Salaried,436,East,0,Paid,7137.961267
70555,5915,Credit Card,3298505,20.33,36,23,194267,Self-Employed,673,North,11,Default,110252.5296
70556,5211,Auto,1499712,21.6,120,44,41066,Self-Employed,751,North,3,Paid,15197.0816
70557,5317,Auto,1902096,18.85,24,47,115452,Salaried,576,North,6,Paid,94193.379
70558,5555,Home,4457711,17.05,240,34,74911,Self-Employed,460,West,0,Paid,21740.62802
70559,6329,Credit Card,736532,9.94,12,57,117597,Self-Employed,804,West,20,Active,67478.60673
70560,5799,Credit Card,4701209,21.51,120,22,85825,Self-Employed,467,North,4,Active,47603.6588
70561,5566,Personal,4374613,9.25,240,27,59198,Salaried,865,East,3,Active,19913.60293
70562,5111,Credit Card,82372,14.52,12,30,41191,Self-Employed,680,North,20,Paid,7861.034533
70563,5444,Auto,1034135,10.95,36,49,21227,Self-Employed,762,South,0,Active,31871.46618
70564,6249,Auto,1101160,18.67,60,48,87555,Self-Employed,493,North,10,Paid,21779.10953
70565,5384,Home,387456,9.45,240,30,182135,Self-Employed,454,South,2,Active,1766.9608
70566,5985,Home,2073336,10.02,24,48,86187,Self-Employed,887,West,3,Active,95045.1778
70567,5291,Personal,3060950,13.01,120,25,187674,Salaried,767,East,1,Paid,28826.49663
70568,6442,Home,2511629,20.41,60,43,25032,Salaried,598,West,3,Active,50404.20798
70569,6389,Personal,1254336,15.74,60,35,181555,Self-Employed,754,West,7,Default,24196.14144
70570,6471,Home,1186893,17.83,24,26,59463,Self-Employed,650,North,2,Default,58271.50091
70571,5339,Home,4875086,18.85,24,40,160542,Self-Employed,677,East,7,Paid,241418.3213
70572,5595,Personal,684240,20.11,36,33,79521,Self-Employed,318,North,9,Paid,22828.90733
70573,5781,Home,4137137,17.51,12,55,184474,Salaried,349,North,18,Active,405129.1407
70574,5187,Personal,4967184,10.06,12,38,29151,Self-Employed,727,North,11,Default,455573.5592
70575,6171,Credit Card,1718826,21.61,36,57,121966,Salaried,408,East,13,Paid,58062.89718
70576,5254,Auto,3749779,11.81,240,48,46419,Self-Employed,397,North,11,Paid,17469.28292
70577,5673,Auto,876810,9.93,120,45,78105,Salaried,454,West,4,Paid,8032.310275
70578,6317,Home,4377324,11.18,24,45,35887,Salaried,505,East,2,Paid,202779.5343
70579,5404,Personal,4806739,17.28,36,59,76157,Self-Employed,788,East,24,Paid,156592.875
70580,5064,Auto,340353,18.79,24,40,57119,Self-Employed,342,South,3,Paid,16846.05536
70581,5235,Auto,4940277,17.59,36,44,126606,Self-Employed,552,North,3,Paid,161368.659
70582,6406,Auto,3440921,17.87,120,47,38493,Self-Employed,441,South,4,Active,33798.44652
70583,6209,Auto,3270333,15.19,24,56,78884,Self-Employed,575,East,6,Active,156962.3576
70584,5693,Home,961310,16.36,120,26,28895,Self-Employed,349,South,9,Paid,9321.502633
70585,5043,Credit Card,3551180,11.01,24,59,180128,Self-Employed,513,North,1,Active,164256.8716
70586,5159,Auto,4484093,9.73,240,28,22443,Salaried,540,West,24,Paid,20501.64687
70587,6053,Personal,4283752,10.91,120,21,77292,Salaried,830,South,4,Paid,39592.57786
70588,5695,Personal,3006240,11.73,24,50,49097,Self-Employed,671,West,4,Paid,139952.998
70589,5982,Auto,2735400,16.5,60,54,87789,Salaried,314,East,1,Paid,53112.35
70590,5356,Home,2899471,9.44,120,48,157628,Salaried,814,West,17,Paid,26443.17552
70591,6003,Auto,4815424,19.26,60,34,90200,Salaried,449,South,9,Active,95714.57771
70592,5449,Auto,4606161,17.69,24,22,42933,Self-Employed,564,West,13,Paid,225874.62
70593,6052,Personal,4752219,11.15,60,41,132731,Salaried,837,East,1,Paid,88034.85697
70594,5108,Personal,3099564,10.12,240,21,152194,Salaried,323,South,3,Paid,14221.83282
70595,5407,Auto,914471,8.79,240,24,69690,Salaried,753,North,20,Active,4145.220837
